File Number,Rarity Score,Position
682,6943.30,1
77,6817.22,2
227,5877.15,3
277,5574.55,4
589,5399.50,5
111,5386.90,6
714,5374.84,7
206,5330.55,8
988,5316.62,9
669,5308.17,10
267,5307.19,11
118,5272.10,12
971,5246.14,13
253,5213.36,14
216,5207.19,15
783,5188.69,16
845,5158.29,17
128,5147.34,18
544,5127.76,19
924,5098.22,20
93,5060.56,21
943,5054.09,22
835,5012.59,23
969,5010.08,24
29,5009.26,25
37,5002.25,26
54,4974.94,27
441,4968.73,28
380,4950.48,29
703,4931.16,30
388,4897.29,31
528,4886.54,32
569,4882.95,33
744,4878.20,34
170,4862.50,35
432,4859.95,36
351,4818.69,37
686,4816.29,38
210,4748.43,39
38,4732.97,40
878,4725.65,41
706,4704.04,42
183,4683.36,43
402,4678.33,44
592,4665.72,45
12,4661.09,46
214,4650.36,47
639,4626.50,48
431,4622.27,49
665,4582.42,50
47,4562.64,51
850,4562.25,52
160,4539.54,53
200,4530.79,54
999,4513.20,55
724,4504.75,56
403,4495.43,57
980,4492.38,58
735,4451.03,59
680,4440.54,60
36,4436.57,61
780,4421.10,62
717,4409.24,63
590,4406.76,64
52,4373.65,65
89,4352.19,66
685,4348.74,67
177,4348.24,68
781,4340.09,69
812,4340.09,70
985,4338.28,71
827,4337.04,72
648,4332.56,73
410,4331.11,74
858,4331.11,75
342,4303.84,76
667,4302.92,77
387,4288.09,78
603,4279.77,79
140,4277.50,80
752,4252.44,81
373,4248.79,82
611,4241.70,83
764,4241.22,84
545,4237.81,85
389,4230.46,86
67,4220.41,87
572,4219.75,88
863,4211.75,89
370,4202.14,90
406,4202.14,91
422,4190.08,92
610,4176.14,93
738,4160.80,94
840,4160.06,95
743,4153.06,96
886,4145.13,97
514,4140.39,98
44,4140.14,99
419,4131.71,100
580,4123.89,101
174,4105.62,102
942,4094.36,103
751,4090.29,104
967,4053.79,105
231,4051.69,106
888,4041.47,107
767,4034.34,108
473,4031.14,109
690,4027.38,110
301,4026.28,111
98,4012.89,112
653,4010.81,113
919,4010.33,114
336,4005.87,115
73,3997.38,116
866,3996.29,117
6,3994.82,118
176,3987.44,119
223,3987.15,120
841,3981.84,121
124,3980.44,122
104,3957.80,123
894,3957.28,124
94,3951.19,125
258,3941.53,126
497,3936.04,127
70,3935.32,128
87,3929.32,129
912,3928.62,130
581,3926.20,131
833,3925.89,132
645,3925.62,133
467,3911.66,134
543,3910.34,135
975,3907.42,136
11,3905.73,137
908,3899.80,138
923,3898.29,139
1,3894.25,140
220,3887.92,141
243,3883.99,142
692,3880.94,143
417,3875.64,144
948,3870.19,145
62,3867.13,146
670,3863.47,147
981,3861.09,148
506,3859.43,149
433,3843.59,150
385,3841.86,151
319,3834.64,152
82,3834.48,153
621,3831.38,154
953,3831.38,155
34,3824.38,156
254,3823.29,157
619,3823.14,158
534,3815.74,159
661,3807.81,160
439,3804.73,161
334,3802.85,162
399,3778.03,163
672,3774.39,164
119,3764.05,165
24,3743.95,166
591,3743.66,167
415,3721.24,168
522,3720.49,169
19,3716.54,170
230,3714.07,171
9,3712.64,172
173,3712.64,173
519,3711.18,174
761,3702.35,175
566,3701.66,176
156,3697.98,177
245,3690.34,178
503,3690.34,179
232,3685.47,180
693,3675.62,181
184,3673.84,182
428,3673.30,183
843,3662.37,184
83,3660.81,185
626,3659.25,186
418,3645.31,187
263,3644.79,188
356,3644.79,189
337,3643.97,190
269,3643.13,191
494,3639.29,192
358,3638.37,193
240,3636.82,194
567,3636.82,195
213,3636.72,196
530,3636.27,197
330,3633.06,198
838,3630.94,199
209,3629.45,200
165,3614.77,201
487,3614.29,202
218,3612.70,203
711,3608.87,204
739,3605.33,205
60,3605.03,206
509,3595.81,207
978,3591.88,208
906,3583.60,209
844,3571.60,210
413,3570.14,211
798,3570.03,212
59,3568.54,213
466,3568.01,214
324,3561.58,215
542,3556.33,216
317,3554.11,217
983,3549.33,218
521,3547.55,219
338,3544.36,220
784,3527.86,221
873,3523.07,222
609,3517.83,223
807,3517.08,224
966,3504.94,225
949,3497.94,226
831,3490.95,227
39,3489.98,228
20,3487.90,229
594,3470.72,230
68,3470.26,231
490,3467.67,232
856,3463.86,233
562,3461.09,234
725,3446.80,235
733,3446.10,236
437,3445.94,237
585,3440.43,238
712,3439.36,239
802,3431.92,240
974,3431.92,241
100,3427.84,242
998,3416.80,243
705,3413.75,244
834,3404.52,245
465,3400.99,246
191,3398.79,247
252,3388.14,248
730,3387.07,249
486,3380.09,250
993,3380.09,251
72,3373.24,252
45,3365.94,253
284,3365.79,254
261,3362.19,255
493,3360.76,256
21,3359.99,257
688,3359.99,258
135,3354.76,259
537,3351.34,260
50,3351.04,261
368,3346.96,262
394,3345.84,263
405,3345.40,264
773,3344.34,265
331,3342.02,266
105,3339.24,267
816,3335.66,268
851,3329.19,269
756,3329.05,270
811,3328.87,271
91,3323.73,272
115,3322.96,273
251,3321.69,274
412,3315.38,275
97,3308.59,276
290,3308.57,277
360,3306.64,278
340,3305.96,279
310,3297.12,280
32,3296.44,281
459,3296.00,282
53,3292.23,283
7,3284.93,284
353,3284.93,285
771,3284.91,286
836,3282.89,287
71,3281.61,288
18,3280.76,289
182,3278.85,290
599,3271.98,291
631,3266.80,292
447,3262.89,293
401,3260.54,294
322,3260.25,295
755,3259.41,296
129,3257.49,297
990,3255.88,298
929,3254.81,299
538,3252.28,300
265,3251.60,301
293,3242.44,302
716,3238.20,303
737,3221.74,304
644,3215.33,305
498,3208.42,306
266,3207.94,307
769,3203.64,308
660,3201.46,309
822,3194.03,310
935,3190.56,311
931,3186.37,312
508,3183.53,313
249,3183.12,314
395,3179.37,315
778,3177.10,316
720,3175.17,317
198,3170.80,318
484,3167.04,319
925,3160.44,320
299,3156.10,321
335,3153.82,322
345,3153.06,323
248,3147.35,324
462,3146.58,325
956,3144.29,326
810,3143.00,327
501,3134.65,328
982,3132.08,329
57,3131.60,330
468,3125.08,331
972,3124.69,332
524,3122.07,333
168,3111.06,334
920,3109.55,335
571,3097.34,336
241,3097.13,337
460,3095.16,338
492,3093.89,339
25,3090.74,340
792,3089.33,341
329,3089.01,342
664,3088.73,343
65,3087.42,344
461,3086.33,345
629,3085.96,346
671,3080.68,347
113,3076.30,348
957,3075.20,349
378,3072.15,350
424,3069.52,351
535,3067.19,352
839,3064.15,353
635,3061.39,354
491,3054.38,355
343,3054.04,356
765,3051.86,357
16,3050.59,358
14,3049.71,359
384,3043.86,360
588,3041.07,361
615,3041.07,362
696,3041.04,363
463,3039.65,364
830,3030.01,365
162,3028.85,366
994,3028.17,367
520,3022.28,368
593,3019.23,369
453,3018.41,370
149,3015.95,371
282,3015.93,372
495,3014.67,373
818,3012.88,374
61,3012.16,375
393,3006.77,376
913,3006.41,377
46,3006.20,378
423,3005.32,379
148,3004.63,380
673,3002.88,381
650,3001.35,382
341,2999.83,383
710,2999.72,384
800,2993.40,385
746,2993.11,386
970,2991.91,387
950,2991.47,388
471,2991.14,389
677,2991.14,390
550,2989.70,391
348,2989.23,392
276,2987.51,393
633,2987.51,394
640,2984.10,395
457,2983.55,396
523,2982.59,397
678,2980.18,398
926,2980.07,399
137,2978.90,400
295,2977.13,401
699,2976.27,402
307,2973.61,403
963,2971.53,404
74,2970.44,405
186,2970.44,406
103,2965.98,407
628,2964.08,408
2,2963.01,409
820,2962.93,410
347,2960.92,411
51,2959.32,412
579,2959.32,413
516,2955.08,414
96,2951.88,415
146,2949.00,416
777,2947.49,417
430,2938.87,418
625,2938.56,419
64,2934.92,420
286,2930.94,421
772,2930.12,422
732,2925.76,423
826,2922.71,424
169,2922.29,425
396,2921.59,426
108,2917.62,427
779,2910.47,428
5,2909.70,429
914,2908.69,430
421,2908.10,431
870,2903.09,432
663,2899.49,433
152,2899.17,434
181,2898.75,435
69,2897.89,436
482,2895.66,437
123,2895.00,438
407,2893.27,439
323,2892.61,440
642,2889.79,441
76,2886.64,442
584,2886.14,443
278,2885.68,444
374,2885.68,445
707,2883.36,446
259,2879.64,447
185,2875.35,448
414,2873.37,449
651,2871.67,450
702,2871.67,451
918,2871.29,452
300,2870.87,453
203,2863.70,454
197,2862.73,455
513,2857.91,456
188,2856.31,457
202,2855.58,458
205,2855.58,459
436,2854.77,460
749,2854.77,461
8,2853.49,462
681,2849.93,463
367,2849.11,464
741,2846.06,465
294,2845.51,466
917,2844.33,467
638,2844.05,468
159,2842.80,469
42,2842.61,470
507,2842.01,471
4,2841.69,472
350,2841.00,473
63,2840.10,474
940,2840.10,475
141,2838.25,476
426,2834.42,477
469,2833.85,478
320,2819.83,479
804,2819.83,480
326,2819.34,481
132,2816.01,482
298,2813.08,483
634,2811.90,484
890,2811.90,485
821,2809.01,486
196,2806.07,487
533,2805.22,488
766,2796.93,489
238,2789.86,490
420,2784.72,491
455,2781.76,492
139,2777.00,493
549,2776.38,494
797,2775.94,495
859,2773.95,496
515,2772.51,497
871,2766.51,498
757,2765.10,499
708,2764.59,500
604,2764.50,501
847,2763.47,502
143,2762.99,503
973,2757.71,504
318,2755.62,505
607,2750.16,506
601,2748.67,507
803,2744.97,508
505,2740.95,509
511,2740.90,510
264,2740.39,511
1000,2740.39,512
794,2740.19,513
377,2735.86,514
877,2732.10,515
472,2730.26,516
190,2727.21,517
936,2719.53,518
616,2715.00,519
531,2713.13,520
166,2708.00,521
553,2707.32,522
624,2706.90,523
897,2706.38,524
697,2705.20,525
464,2700.99,526
444,2700.75,527
48,2700.11,528
449,2699.03,529
932,2696.87,530
244,2695.99,531
95,2694.15,532
234,2693.98,533
435,2692.94,534
815,2692.34,535
891,2692.02,536
636,2691.46,537
754,2691.46,538
126,2688.56,539
194,2688.39,540
517,2687.95,541
357,2687.15,542
933,2684.46,543
26,2679.25,544
867,2679.25,545
379,2678.43,546
889,2677.29,547
101,2672.54,548
814,2671.57,549
722,2668.93,550
178,2668.38,551
321,2667.09,552
237,2663.28,553
577,2663.17,554
225,2663.08,555
565,2662.68,556
56,2661.49,557
142,2659.63,558
279,2659.63,559
654,2657.19,560
984,2656.59,561
723,2656.16,562
719,2653.16,563
151,2649.43,564
637,2649.15,565
770,2645.36,566
315,2642.15,567
747,2640.95,568
687,2639.63,569
728,2638.11,570
327,2634.86,571
657,2633.64,572
499,2632.32,573
172,2630.59,574
136,2627.42,575
536,2626.64,576
880,2624.97,577
596,2623.58,578
10,2621.07,579
15,2617.05,580
726,2615.23,581
313,2614.36,582
959,2614.06,583
246,2612.40,584
250,2608.85,585
409,2608.85,586
547,2608.76,587
785,2608.09,588
362,2602.44,589
860,2602.44,590
180,2602.15,591
805,2601.88,592
328,2598.28,593
578,2596.61,594
30,2595.29,595
938,2595.29,596
291,2591.13,597
729,2590.92,598
215,2589.61,599
427,2588.69,600
995,2588.69,601
910,2587.92,602
58,2587.09,603
540,2586.19,604
66,2585.32,605
247,2585.32,606
429,2582.24,607
179,2581.68,608
408,2573.11,609
221,2572.05,610
721,2565.78,611
256,2560.51,612
532,2557.81,613
946,2557.02,614
568,2554.77,615
167,2552.22,616
905,2550.81,617
404,2550.44,618
355,2550.32,619
965,2550.02,620
753,2549.16,621
22,2547.01,622
646,2545.21,623
361,2544.78,624
704,2544.29,625
526,2543.96,626
365,2542.88,627
684,2542.88,628
656,2536.08,629
828,2536.00,630
573,2535.69,631
175,2535.26,632
88,2534.80,633
450,2534.72,634
153,2532.64,635
144,2530.48,636
848,2529.85,637
939,2528.95,638
359,2526.98,639
445,2525.20,640
55,2523.05,641
27,2521.27,642
106,2519.51,643
787,2519.02,644
150,2517.74,645
734,2514.27,646
346,2513.42,647
207,2511.58,648
233,2511.58,649
989,2509.99,650
314,2508.53,651
477,2508.53,652
485,2508.21,653
556,2508.21,654
865,2506.94,655
391,2506.41,656
164,2505.58,657
837,2505.49,658
23,2501.65,659
796,2499.56,660
921,2497.78,661
400,2494.72,662
564,2494.72,663
829,2487.35,664
552,2485.46,665
774,2484.77,666
78,2481.72,667
502,2481.28,668
789,2480.71,669
916,2480.71,670
271,2477.24,671
709,2473.78,672
606,2472.06,673
605,2465.90,674
157,2464.62,675
145,2464.13,676
90,2460.32,677
270,2458.15,678
366,2457.27,679
817,2456.38,680
668,2455.10,681
662,2453.38,682
575,2453.17,683
339,2451.97,684
676,2451.85,685
627,2451.67,686
371,2451.60,687
193,2450.33,688
110,2446.66,689
333,2446.66,690
81,2445.97,691
883,2444.70,692
189,2442.89,693
376,2436.75,694
154,2436.31,695
217,2426.79,696
204,2426.54,697
280,2423.49,698
147,2423.29,699
35,2419.54,700
452,2416.92,701
386,2414.58,702
922,2402.26,703
700,2399.48,704
242,2397.55,705
262,2388.03,706
694,2388.03,707
306,2384.49,708
799,2384.49,709
758,2383.14,710
40,2380.74,711
236,2380.21,712
163,2379.31,713
876,2375.84,714
806,2375.82,715
546,2374.71,716
740,2374.70,717
881,2371.65,718
138,2367.70,719
281,2361.34,720
715,2361.08,721
527,2352.03,722
49,2351.92,723
470,2349.44,724
614,2349.44,725
824,2346.38,726
131,2343.34,727
75,2342.28,728
597,2342.28,729
195,2340.51,730
760,2340.51,731
944,2340.51,732
219,2339.23,733
518,2339.23,734
541,2339.23,735
961,2336.34,736
303,2335.21,737
813,2334.91,738
539,2333.77,739
275,2331.86,740
907,2327.48,741
846,2318.46,742
759,2318.37,743
987,2317.25,744
17,2311.46,745
857,2311.46,746
390,2309.80,747
852,2306.76,748
13,2305.04,749
448,2303.48,750
563,2303.48,751
622,2303.48,752
555,2298.03,753
500,2297.60,754
602,2296.11,755
862,2296.11,756
679,2295.67,757
853,2294.83,758
425,2288.68,759
208,2287.40,760
255,2281.44,761
411,2280.08,762
85,2274.06,763
786,2266.24,764
289,2259.63,765
529,2258.80,766
41,2252.57,767
187,2241.36,768
791,2241.36,769
292,2237.44,770
976,2237.04,771
332,2230.04,772
456,2225.27,773
451,2225.23,774
107,2222.60,775
937,2220.78,776
666,2217.72,777
997,2207.02,778
127,2205.84,779
960,2204.33,780
788,2202.55,781
121,2199.97,782
475,2196.91,783
479,2192.04,784
945,2189.77,785
968,2189.52,786
823,2183.75,787
480,2180.81,788
229,2170.92,789
481,2168.55,790
112,2164.60,791
296,2164.60,792
309,2163.92,793
659,2161.55,794
809,2161.55,795
947,2161.17,796
79,2159.93,797
903,2144.55,798
122,2141.50,799
825,2132.81,800
658,2131.97,801
397,2131.29,802
900,2125.80,803
874,2125.12,804
559,2122.13,805
372,2120.20,806
109,2119.77,807
655,2119.76,808
102,2117.15,809
478,2116.72,810
212,2114.62,811
986,2112.77,812
958,2106.86,813
992,2105.75,814
882,2098.91,815
893,2097.10,816
600,2094.26,817
305,2093.82,818
28,2091.45,819
458,2090.77,820
979,2088.09,821
171,2084.02,822
558,2080.97,823
763,2078.42,824
302,2073.97,825
312,2070.98,826
382,2068.04,827
43,2062.41,828
868,2062.41,829
964,2060.11,830
586,2058.52,831
551,2058.45,832
887,2055.70,833
898,2055.70,834
33,2055.40,835
996,2055.02,836
698,2050.10,837
442,2047.05,838
192,2043.09,839
793,2042.67,840
454,2039.62,841
560,2038.40,842
120,2036.09,843
548,2028.88,844
896,2028.88,845
902,2026.66,846
727,2026.57,847
695,2025.38,848
114,2021.43,849
375,2021.43,850
483,2018.38,851
125,2018.01,852
892,2013.62,853
364,2006.62,854
574,2003.87,855
612,2003.57,856
31,1998.32,857
869,1995.27,858
304,1991.85,859
849,1990.08,860
92,1989.63,861
768,1989.63,862
854,1986.57,863
308,1984.03,864
909,1983.52,865
344,1983.06,866
941,1982.63,867
713,1982.26,868
623,1979.64,869
86,1977.87,870
161,1977.87,871
775,1977.04,872
268,1975.26,873
618,1973.55,874
748,1969.59,875
731,1967.82,876
133,1966.54,877
392,1961.78,878
620,1956.98,879
790,1955.20,880
776,1954.65,881
842,1954.65,882
930,1953.93,883
155,1951.33,884
260,1951.33,885
116,1949.55,886
630,1949.54,887
349,1948.28,888
691,1948.28,889
438,1947.45,890
952,1944.40,891
3,1944.26,892
554,1943.96,893
316,1940.90,894
363,1938.56,895
489,1937.80,896
641,1936.97,897
130,1936.52,898
598,1935.67,899
885,1935.24,900
954,1933.71,901
683,1933.47,902
239,1932.19,903
595,1930.79,904
369,1930.79,905
274,1929.94,906
911,1927.42,907
977,1919.14,908
795,1916.98,909
801,1912.53,910
201,1910.25,911
875,1909.98,912
283,1908.65,913
649,1905.16,914
745,1903.88,915
288,1901.22,916
782,1899.49,917
583,1897.97,918
354,1897.72,919
819,1896.44,920
352,1896.44,921
576,1889.12,922
228,1873.86,923
879,1868.13,924
582,1859.84,925
496,1849.04,926
476,1839.88,927
443,1828.69,928
474,1828.25,929
134,1827.56,930
762,1822.82,931
587,1792.50,932
962,1792.50,933
557,1786.90,934
855,1784.97,935
895,1779.47,936
398,1738.54,937
99,1732.07,938
884,1726.60,939
899,1722.84,940
955,1718.36,941
381,1717.93,942
736,1691.54,943
742,1689.61,944
383,1682.62,945
325,1681.83,946
224,1681.34,947
864,1671.39,948
632,1660.57,949
861,1641.80,950
488,1596.48,951
311,1575.68,952
689,1573.32,953
440,1572.63,954
273,1538.66,955
647,1537.57,956
675,1528.92,957
512,1524.53,958
510,1521.48,959
257,1513.71,960
84,1510.66,961
117,1499.86,962
287,1493.17,963
701,1486.65,964
904,1485.73,965
718,1483.60,966
608,1477.13,967
951,1470.22,968
199,1467.91,969
927,1467.17,970
991,1436.61,971
416,1430.14,972
272,1418.39,973
222,1415.33,974
226,1404.51,975
446,1397.81,976
211,1397.51,977
561,1388.80,978
434,1385.74,979
928,1379.59,980
80,1370.54,981
570,1368.76,982
297,1360.48,983
808,1355.72,984
643,1350.00,985
525,1342.56,986
750,1340.43,987
285,1331.74,988
652,1330.46,989
504,1327.41,990
872,1296.75,991
674,1295.16,992
934,1293.43,993
235,1291.66,994
832,1290.38,995
901,1282.95,996
613,1254.63,997
158,1134.61,998
617,773.52,999
915,772.25,1000
